feature,group,fold_0,fold_1,fold_2,fold_3,fold_4,mean,std,rank
mean trigonal non-coplanar CN_3,Coordination fingerprint,0.041981928051,0.038087844849,0.039766009897,0.043605215847,0.045085541904,0.041705310345,0.002826617565,16
density,Bond length / packing,0.034787897021,0.033937200904,0.039595648646,0.040498808026,0.040735185146,0.037910945714,0.003280840814,17
MagpieData range Column,Periodic position (comp),0.040996327996,0.040249228477,0.031277708709,0.037712957710,0.035918410867,0.037230927497,0.003895004746,18
std_dev square co-planar CN_4,Coordination fingerprint,0.040091987699,0.031662479043,0.041597079486,0.035256966949,0.035721540451,0.036866012961,0.003992665559,19
MagpieData mean Row,Atomic size (comp),0.046029575169,0.031212493777,0.025902889669,0.031079214066,0.044496994466,0.035744234920,0.008965910412,20
std_dev octahedral CN_6,Coordination fingerprint,0.036693867296,0.029716067016,0.034794211388,0.032310809940,0.042489524931,0.035200897604,0.004846504424,21
MagpieData range Electronegativity,Ionicity,0.038220796734,0.024856150150,0.038867551833,0.025326021016,0.046273250133,0.034708753228,0.009333770722,22
MagpieData mean GSbandgap,Band-gap prior (comp),0.038770668209,0.034805402160,0.034146770835,0.028217991814,0.037108547986,0.034609876573,0.004020710010,23
MagpieData maximum MendeleevNumber,Periodic position (comp),0.039727106690,0.026446003467,0.031324435025,0.034119948745,0.037598617375,0.033843219280,0.005240772851,24
is_centrosymmetric,Global symmetry,0.034245889634,0.032818011940,0.032824940979,0.032110538334,0.035915408283,0.033582955599,0.001517197583,25
MagpieData mean MeltingT,Bond strength (comp),0.034850809723,0.032814264297,0.029781209305,0.036961808801,0.031668938696,0.033215403557,0.002786407247,26
MagpieData mean CovalentRadius,Atomic size (comp),0.037431262434,0.030287401751,0.025817258283,0.044022835791,0.025971231982,0.032705999911,0.007890823297,27
MagpieData maximum MeltingT,Bond strength (comp),0.029449408874,0.034495502710,0.032835260034,0.034163653851,0.030235905200,0.032235946506,0.002288328251,28
MagpieData minimum MeltingT,Bond strength (comp),0.029082639143,0.031023671851,0.036072760820,0.037838261575,0.025799047202,0.031963277608,0.004964422435,29
mean ordering parameter shell 2,Chemical ordering,0.028794398531,0.030306885019,0.034129709005,0.035720299929,0.029874127358,0.031765084714,0.002990076086,30
mean neighbor distance variation,Bond length / packing,0.029076166451,0.031067499891,0.030491910875,0.035221178085,0.029482277110,0.031067807227,0.002452686429,31
MagpieData range MeltingT,Bond strength (comp),0.034217309207,0.029777918011,0.030611364171,0.026668896899,0.028764847666,0.030008068308,0.002776252339,32
MagpieData mean GSvolume_pa,Atomic size (comp),0.029053095728,0.026486398652,0.028322951868,0.028699751943,0.026831585914,0.027878755704,0.001149526215,33
MagpieData mean Column,Periodic position (comp),0.029893917963,0.023244855925,0.033356245607,0.027179600671,0.023818440735,0.027498612180,0.004236426204,34
MagpieData avg_dev GSbandgap,Band-gap prior (comp),0.024283194914,0.031586106867,0.028077717870,0.025913342834,0.025124788284,0.026997029781,0.002927117981,35
mean ordering parameter shell 1,Chemical ordering,0.024369910359,0.029029645026,0.027851141989,0.028277104720,0.024340698496,0.026773700491,0.002247670665,36
max relative bond length,Bond length / packing,0.022614484653,0.022592317313,0.024370666593,0.029462946579,0.030591705814,0.025926426053,0.003833322320,37
band center,BandCenter (L2 only),0.021716933697,0.023441696540,0.029392933473,0.016399646178,0.036821346730,0.025554511696,0.007821086794,38
vpa,Bond length / packing,0.023837910965,0.027302421629,0.028662269935,0.023827811703,0.022172927856,0.025160670280,0.002706524916,39
MagpieData maximum NfUnfilled,Unfilled orbitals (comp),0.023376751691,0.023195913061,0.024257713929,0.025483641773,0.027472401038,0.024757282808,0.001767255948,40
MagpieData mean SpaceGroupNumber,Periodic position (comp),0.022900823504,0.027094766498,0.022033512592,0.025943100452,0.022670872509,0.024128613994,0.002242339775,41
MagpieData maximum NUnfilled,Unfilled orbitals (comp),0.024070693180,0.024258181453,0.023892877623,0.022663194686,0.025344599038,0.024045908824,0.000957547280,42
std_dev wt CN_1,Coordination fingerprint,0.025746420026,0.021600641310,0.025100255385,0.022469799966,0.025063361973,0.023996096104,0.001836412353,43
MagpieData avg_dev GSvolume_pa,Atomic size (comp),0.022578712553,0.024241661653,0.020912626758,0.022086951882,0.023168902844,0.022597771138,0.001237899298,44
MagpieData mean NsValence,d/p electron count (comp),0.020876161754,0.023958055303,0.022967234254,0.024525051937,0.019595695660,0.022384440526,0.002088667825,45
std_dev tetrahedral CN_4,Coordination fingerprint,0.024043438956,0.021487161517,0.018774615601,0.021864380687,0.025257429108,0.022285405546,0.002503183438,46
mean bent 120 degrees CN_2,Coordination fingerprint,0.023598825559,0.020748192444,0.024336669594,0.018997510895,0.023352460936,0.022206731141,0.002247981960,47
MagpieData mean Electronegativity,Ionicity,0.024107245728,0.021446505561,0.020380301401,0.022209843621,0.022753877565,0.022179555148,0.001398341032,48
avg_dev neighbor distance variation,Bond length / packing,0.021148322150,0.020564159378,0.020067108795,0.022221198305,0.023141652346,0.021428488195,0.001249222900,49
std_dev square pyramidal CN_5,Coordination fingerprint,0.024603560567,0.018677983433,0.019061528146,0.020762080327,0.022936683148,0.021208366379,0.002536007902,50
MagpieData avg_dev SpaceGroupNumber,Periodic position (comp),0.019435171038,0.020327057689,0.021197617054,0.023885296658,0.016622114927,0.020293449983,0.002642695326,51
MagpieData avg_dev NUnfilled,Unfilled orbitals (comp),0.020489418879,0.021422106773,0.020655557513,0.020646585152,0.017245406285,0.020091814920,0.001632129191,52
packing fraction,Bond length / packing,0.021827237681,0.020521845669,0.020161608234,0.019267747179,0.018579978496,0.020071681589,0.001241390361,53
mean trigonal pyramidal CN_4,Coordination fingerprint,0.019970124587,0.017553400248,0.019971804693,0.018489001319,0.022750666365,0.019747000188,0.001969566802,54
std_dev trigonal planar CN_3,Coordination fingerprint,0.016677791253,0.020426368341,0.022897092625,0.017152527347,0.015910290182,0.018612813205,0.002950610360,55
std_dev bent 120 degrees CN_2,Coordination fingerprint,0.016708824784,0.017381502315,0.018906531855,0.017654677853,0.018914507702,0.017913209274,0.000973316608,56
MagpieData maximum Number,Periodic position (comp),0.016023177654,0.016791971400,0.019978372380,0.019262043759,0.017172407359,0.017845595255,0.001691122074,57
MagpieData maximum NpUnfilled,Unfilled orbitals (comp),0.017502425238,0.014409565367,0.019933799282,0.016272539273,0.020938076079,0.017811279744,0.002660672879,58
MagpieData range CovalentRadius,Atomic size (comp),0.016925906762,0.014458033256,0.018790287897,0.019870659336,0.017112918198,0.017431560904,0.002061214764,59
MagpieData avg_dev NValence,Valence total (comp),0.015763584524,0.019857011735,0.015742970631,0.018048403785,0.017024390399,0.017287272960,0.001729051815,60
mean absolute deviation in relative bond length,Bond length / packing,0.015483096242,0.019199371338,0.017033716664,0.020187530667,0.013104251586,0.017001595348,0.002849410754,61
std_dev body-centered cubic CN_8,Coordination fingerprint,0.019222814590,0.017355969176,0.017963282764,0.014332680032,0.014951109886,0.016765171662,0.002063513733,62
MagpieData avg_dev NdValence,d/p electron count (comp),0.012103292160,0.017097029835,0.012422405183,0.019324712455,0.022367788479,0.016663046554,0.004432586487,63
MagpieData mean MendeleevNumber,Periodic position (comp),0.021922951564,0.014152484946,0.017761776224,0.015705233440,0.013565435074,0.016621576622,0.003379376139,64
MagpieData mean GSmagmom,Magnetic moment (comp),0.019966287538,0.019915275276,0.014297658578,0.014956614003,0.013170359656,0.016461240128,0.003240007441,65
std_dev L-shaped CN_2,Coordination fingerprint,0.015227847733,0.021676778793,0.014162139967,0.015524767339,0.015127616003,0.016343828291,0.003024713602,66
mean pentagonal planar CN_5,Coordination fingerprint,0.015994710848,0.014360163361,0.012918272987,0.017066003755,0.020686717704,0.016205172986,0.002961306367,67
MagpieData mean NpUnfilled,Unfilled orbitals (comp),0.016440479085,0.014968072064,0.017215687782,0.016217581928,0.015848120674,0.016137989238,0.000823407434,68
MagpieData maximum NdUnfilled,Unfilled orbitals (comp),0.016689285636,0.016823008657,0.014434228651,0.015112517402,0.017466170713,0.016105042771,0.001273402013,69
MagpieData maximum GSvolume_pa,Atomic size (comp),0.014849151485,0.016292307526,0.015156476758,0.014826496132,0.017831638455,0.015791213140,0.001287971274,70
MagpieData avg_dev NpUnfilled,Unfilled orbitals (comp),0.017962692305,0.016248555854,0.015578708611,0.014147914946,0.013399882242,0.015467551537,0.001793373027,71
std_dev wt CN_4,Coordination fingerprint,0.014525137842,0.018700273708,0.013140069321,0.014305960387,0.016410406679,0.015416368842,0.002178358380,72
MagpieData range NUnfilled,Unfilled orbitals (comp),0.015279628336,0.015802185982,0.014372561127,0.015238146298,0.015251117758,0.015188728459,0.000514066312,73
std_dev see-saw-like CN_4,Coordination fingerprint,0.011676002294,0.020624238998,0.013471574523,0.012789302506,0.016441056505,0.015000434592,0.003604890313,74
MagpieData mean NUnfilled,Unfilled orbitals (comp),0.016393033788,0.014169940725,0.012942804955,0.015669479966,0.015398048796,0.014914661646,0.001363068819,75
MagpieData mode Electronegativity,Ionicity,0.015906428918,0.012721567415,0.013163425028,0.016391418874,0.015396041796,0.014715775847,0.001663945266,76
MagpieData maximum CovalentRadius,Atomic size (comp),0.014756889082,0.011739622802,0.013499688357,0.013056313619,0.016181807965,0.013846864924,0.001693079714,77
MagpieData range MendeleevNumber,Periodic position (comp),0.013559950516,0.013864364475,0.016649860889,0.010336264037,0.014252941124,0.013732676394,0.002256293083,78
MagpieData avg_dev NsValence,d/p electron count (comp),0.015169774182,0.014385024086,0.012922246009,0.009746308438,0.016111146659,0.013666900806,0.002483657794,79
MagpieData mean NValence,Valence total (comp),0.014869122766,0.012549403124,0.014022952877,0.014645032585,0.012177697383,0.013652841561,0.001224172418,80
crystal_system_trigonal,Global symmetry,0.011703975499,0.016165908426,0.012346616015,0.014195094816,0.012824600562,0.013447238132,0.001774011645,81
mean water-like CN_2,Coordination fingerprint,0.017272152007,0.011500058696,0.010432809591,0.014096557163,0.012774755247,0.013215268031,0.002651087008,82
mean L-shaped CN_2,Coordination fingerprint,0.011480540037,0.018659759313,0.012460805476,0.012832973152,0.010488454252,0.013184505515,0.003193662269,83
mean bent 150 degrees CN_2,Coordination fingerprint,0.011475841515,0.016608893871,0.011132401414,0.015086098574,0.011514691636,0.013163586147,0.002512928797,84
mean wt CN_3,Coordination fingerprint,0.013636156917,0.014958356507,0.012014559470,0.014680399559,0.009822026826,0.013022300787,0.002129067900,85
MagpieData range NdValence,d/p electron count (comp),0.015523388050,0.013513607904,0.011255299672,0.011047763750,0.011058982462,0.012479808182,0.001993805170,86
MagpieData avg_dev CovalentRadius,Atomic size (comp),0.013669244945,0.011990696192,0.011595859192,0.012390059419,0.012305526994,0.012390277348,0.000780016999,87
MagpieData maximum NpValence,d/p electron count (comp),0.010095367208,0.013257175684,0.015440673567,0.011171011254,0.010552456602,0.012103336863,0.002223486314,88
std_dev pentagonal bipyramidal CN_7,Coordination fingerprint,0.010385690257,0.009590907954,0.011302676052,0.015050122514,0.013338540681,0.011933586560,0.002234326908,89
MagpieData mean AtomicWeight,Atomic size (comp),0.010805753060,0.012396498583,0.008513814770,0.015574239194,0.011685280129,0.011795116588,0.002569108503,90
std_dev trigonal non-coplanar CN_3,Coordination fingerprint,0.012353163213,0.012042862363,0.010100519285,0.012747785076,0.011654215865,0.011779709719,0.001021114294,91
crystal_system_int,Global symmetry,0.009814389050,0.006981923245,0.013375122100,0.013306782581,0.015053631738,0.011706369929,0.003257690929,92
MagpieData avg_dev NpValence,d/p electron count (comp),0.012864965945,0.011691905558,0.011198449880,0.011649410240,0.010178330354,0.011516612954,0.000969361456,93
mean linear CN_2,Coordination fingerprint,0.012225714512,0.012674031779,0.012258254923,0.011822950095,0.008119099773,0.011420009658,0.001869676053,94
MagpieData minimum NValence,Valence total (comp),0.008338287473,0.014555791393,0.009776857682,0.009258231148,0.015065269545,0.011398887262,0.003161845263,95
std_dev linear CN_2,Coordination fingerprint,0.008325800300,0.011394722387,0.011392085813,0.011529292911,0.014214007184,0.011371182278,0.002084586071,96
std_dev T-shaped CN_3,Coordination fingerprint,0.011460896581,0.012672581710,0.009932832792,0.012525795959,0.009764277376,0.011271277443,0.001381657436,97
MagpieData range NValence,Valence total (comp),0.013965421356,0.010100240819,0.010189660825,0.010965414345,0.010575349443,0.011159216985,0.001605826314,98
range neighbor distance variation,Bond length / packing,0.011141375639,0.008679066785,0.010855908506,0.011456555687,0.011723511852,0.010771283880,0.001214273158,99
mean T-shaped CN_3,Coordination fingerprint,0.008694649674,0.010948508047,0.009924558923,0.011385040358,0.012741290964,0.010738809593,0.001525869709,100
std_dev rectangular see-saw-like CN_4,Coordination fingerprint,0.011744031683,0.010839333758,0.009867242537,0.010858723894,0.010312836617,0.010724433698,0.000702674326,101
std_dev wt CN_3,Coordination fingerprint,0.011100097559,0.010939299129,0.010392477736,0.008005597629,0.012515813112,0.010590656660,0.001643860829,102
MagpieData avg_dev GSmagmom,Magnetic moment (comp),0.009879440069,0.008394158445,0.010927937925,0.012177057564,0.011541225016,0.010583964176,0.001488641719,103
std_dev hexagonal planar CN_6,Coordination fingerprint,0.009442913346,0.011542068794,0.010177412070,0.011455298401,0.009823105298,0.010488159023,0.000958838209,104
MagpieData maximum AtomicWeight,Atomic size (comp),0.008609481156,0.009753306396,0.010095941834,0.011456137523,0.011279008351,0.010238775983,0.001169907744,105
mean ordering parameter shell 3,Chemical ordering,0.008594170213,0.013221936300,0.010032398626,0.008934349753,0.009907340631,0.010138039477,0.001830792404,106
MagpieData maximum GSmagmom,Magnetic moment (comp),0.010830186307,0.010246756487,0.009715712629,0.009864299558,0.009981918149,0.010127775371,0.000438185787,107
MagpieData maximum Column,Periodic position (comp),0.006159159355,0.016506392509,0.010142527521,0.012295912020,0.004650452174,0.009950889274,0.004769233055,108
maximum neighbor distance variation,Bond length / packing,0.012056880631,0.009757778607,0.009817834012,0.010148846544,0.007786726579,0.009913613088,0.001517072436,109
std_dev trigonal bipyramidal CN_5,Coordination fingerprint,0.004982693586,0.006682101637,0.013146989048,0.011120590381,0.013224504888,0.009831375442,0.003794612596,110
MagpieData avg_dev Row,Atomic size (comp),0.009744811803,0.009054042399,0.009404259734,0.010250482708,0.009510020725,0.009592724033,0.000443935161,111
MagpieData range AtomicWeight,Atomic size (comp),0.008482587524,0.007876653224,0.010778966360,0.007937404327,0.012094000354,0.009433922358,0.001900976640,112
MagpieData range SpaceGroupNumber,Periodic position (comp),0.011916991323,0.008166610263,0.007457355503,0.009043513797,0.009893969633,0.009295688011,0.001728225034,113
MagpieData avg_dev MeltingT,Bond strength (comp),0.009414317086,0.008099450730,0.010133724660,0.007944191806,0.010829263367,0.009284188971,0.001257487223,114
MagpieData range GSmagmom,Magnetic moment (comp),0.009774806909,0.008173528127,0.007884548046,0.010078754276,0.009976539761,0.009177635424,0.001059148693,115
mean pentagonal pyramidal CN_6,Coordination fingerprint,0.009026436135,0.007040709257,0.010012154467,0.008584763855,0.010869359598,0.009106685407,0.001455506310,116
std_dev bent 150 degrees CN_2,Coordination fingerprint,0.009130635299,0.009291918017,0.010290109552,0.008916912600,0.007775482722,0.009081011638,0.000900027226,117
mean square co-planar CN_4,Coordination fingerprint,0.010824399069,0.009065372869,0.007756102365,0.008510775864,0.008711036295,0.008973537013,0.001140101464,118
std_dev trigonal pyramidal CN_4,Coordination fingerprint,0.013009030372,0.008028543554,0.009866839275,0.006099945866,0.007602680009,0.008921408094,0.002650443232,119
std_dev pentagonal pyramidal CN_6,Coordination fingerprint,0.011995032430,0.007435581181,0.007902960293,0.007718523499,0.009364888072,0.008883396164,0.001892648055,120
minimum neighbor distance variation,Bond length / packing,0.009148620069,0.008526830934,0.010093058459,0.008050349541,0.008345722221,0.008832916617,0.000811030855,121
MagpieData avg_dev NdUnfilled,Unfilled orbitals (comp),0.007877458818,0.010872680694,0.010097110644,0.006871534511,0.007925473154,0.008728851564,0.001679884619,122
mean rectangular see-saw-like CN_4,Coordination fingerprint,0.009578398429,0.009465386160,0.009314482100,0.007757937070,0.007477952167,0.008718830533,0.001014161971,123
MagpieData minimum GSvolume_pa,Atomic size (comp),0.009097357281,0.008391885087,0.007270381786,0.007305595558,0.010919695720,0.008596983738,0.001509551774,124
std_dev wt CN_5,Coordination fingerprint,0.010207337327,0.009427502751,0.011110740714,0.005555317737,0.006620330736,0.008584246039,0.002385374857,125
mean absolute deviation in relative cell size,Other structure,0.006052701268,0.009169857949,0.010478199460,0.008715467528,0.008364915848,0.008556229062,0.001612460823,126
mean trigonal planar CN_3,Coordination fingerprint,0.007979025133,0.012433197349,0.007994094864,0.007174662780,0.006604707800,0.008437137119,0.002309019677,127
MagpieData range Number,Periodic position (comp),0.007915196009,0.006883691996,0.007607751060,0.009419178590,0.010343046859,0.008433772251,0.001411589212,128
std_dev wt CN_2,Coordination fingerprint,0.007895299233,0.006825865246,0.007409468759,0.009319541976,0.010559790768,0.008401992731,0.001518552657,129
MagpieData mean Number,Periodic position (comp),0.008456515148,0.008372701705,0.007821697742,0.009456347674,0.007676490583,0.008356750011,0.000701490615,130
mean sgl_bd CN_1,Coordination fingerprint,0.008542777039,0.006988462992,0.006185417995,0.009130100720,0.008231127635,0.007815577090,0.001201146399,131
MagpieData avg_dev MendeleevNumber,Periodic position (comp),0.007005623076,0.008411240764,0.008304162882,0.007815845311,0.007412997074,0.007789974101,0.000593369594,132
MagpieData minimum MendeleevNumber,Periodic position (comp),0.009145408869,0.006940984167,0.006531265099,0.007918932475,0.008257963695,0.007758910302,0.001045604586,133
mean wt CN_5,Coordination fingerprint,0.005430860445,0.006916617509,0.011239149608,0.007416470442,0.007446006872,0.007689821068,0.002146662911,134
MagpieData range NsValence,d/p electron count (comp),0.009950925596,0.004976932425,0.008470367640,0.008738340810,0.006311404984,0.007689594291,0.002005058341,135
MagpieData mode MendeleevNumber,Periodic position (comp),0.005237856414,0.006028079893,0.010467619635,0.009537102655,0.006712678820,0.007596667856,0.002281093271,136
MagpieData mean NdUnfilled,Unfilled orbitals (comp),0.006432335358,0.007810403593,0.007850656286,0.007049665321,0.007941171527,0.007416845765,0.000656140037,137
MagpieData minimum NUnfilled,Unfilled orbitals (comp),0.007636107039,0.005838305689,0.007819088176,0.007772068027,0.007824197412,0.007377953269,0.000864033878,138
std_dev wt CN_7,Coordination fingerprint,0.007951493375,0.005619504955,0.008142510429,0.005678889807,0.009380839765,0.007354647852,0.001650855178,139
mean wt CN_4,Coordination fingerprint,0.007305042818,0.008104545064,0.006781209260,0.006221713964,0.007417107467,0.007165923715,0.000707636005,140
MagpieData maximum GSbandgap,Band-gap prior (comp),0.007104535587,0.008234346285,0.006390379742,0.007076272275,0.006618986838,0.007084903773,0.000710830558,141
mean trigonal bipyramidal CN_5,Coordination fingerprint,0.007094640750,0.006858980283,0.006867736112,0.008682981133,0.005836283322,0.007068124600,0.001025889185,142
MagpieData range GSvolume_pa,Atomic size (comp),0.007730245125,0.006075670943,0.006780568976,0.007554716896,0.006479806732,0.006924201734,0.000704517064,143
mean see-saw-like CN_4,Coordination fingerprint,0.007409031037,0.006548467558,0.007376293652,0.007401210256,0.005352545995,0.006817509420,0.000897405378,144
MagpieData range GSbandgap,Band-gap prior (comp),0.007178945001,0.004169025924,0.008200580254,0.007533784024,0.006993713323,0.006815209985,0.001549359178,145
std_dev hexagonal pyramidal CN_7,Coordination fingerprint,0.007539805025,0.011163042858,0.005190266762,0.004487402737,0.004986406770,0.006673384458,0.002771811793,146
MagpieData minimum Electronegativity,Ionicity,0.005296561867,0.007041850593,0.005301638506,0.008955915459,0.006492037326,0.006617600564,0.001511652255,147
std_dev hexagonal bipyramidal CN_8,Coordination fingerprint,0.005661874544,0.003701291978,0.004235965200,0.009284690022,0.009528018534,0.006482367869,0.002765091136,148
std_dev pentagonal planar CN_5,Coordination fingerprint,0.004929402843,0.006555452943,0.007633383851,0.007990110666,0.004784957971,0.006378661841,0.001486824942,149
mean hexagonal pyramidal CN_7,Coordination fingerprint,0.010697341524,0.005626455881,0.003572525922,0.006723418366,0.004937722348,0.006311492529,0.002704801969,150
MagpieData minimum CovalentRadius,Atomic size (comp),0.008081134409,0.006968242582,0.004582915921,0.003757354803,0.008082326502,0.006294394843,0.002013016492,151
mean body-centered cubic CN_8,Coordination fingerprint,0.006470690481,0.007570361253,0.006441394333,0.004641267937,0.006061724853,0.006237087771,0.001054907916,152
std_dev wt CN_6,Coordination fingerprint,0.006383469794,0.005202772561,0.006764632650,0.006405391730,0.005566617940,0.006064577028,0.000651650829,153
std_dev sgl_bd CN_1,Coordination fingerprint,0.006496500690,0.004838928115,0.007379160728,0.006316324230,0.005257538054,0.006057690363,0.001016286784,154
mean square pyramidal CN_5,Coordination fingerprint,0.008165487088,0.005317478906,0.005430867430,0.005288566463,0.005667937454,0.005974067375,0.001234111260,155
mean hexagonal planar CN_6,Coordination fingerprint,0.004378654063,0.004847909324,0.007423005998,0.006605364382,0.006144139450,0.005879814737,0.001254595700,156
MagpieData minimum Number,Periodic position (comp),0.006339292042,0.004882657435,0.004646137357,0.007355113979,0.005774017889,0.005799443461,0.001104853465,157
std_dev water-like CN_2,Coordination fingerprint,0.007576474454,0.005669050384,0.005040323362,0.005262668710,0.004734000657,0.005656503607,0.001126081799,158
std_dev wt CN_8,Coordination fingerprint,0.005844255909,0.005362417083,0.004505858291,0.004885794129,0.007428616751,0.005605388433,0.001136555802,159
std_dev q2 CN_10,Coordination fingerprint,0.004592996556,0.005540074781,0.007398574147,0.006103422958,0.003944295458,0.005515872501,0.001342750969,160
mean wt CN_2,Coordination fingerprint,0.004448428284,0.006197496317,0.005409522448,0.005673707929,0.005715708248,0.005488972180,0.000647415407,161
MagpieData maximum NfValence,d/p electron count (comp),0.005341478158,0.005214227363,0.005410547368,0.005830818787,0.004225822631,0.005204578396,0.000594011333,162
mean wt CN_8,Coordination fingerprint,0.004883950111,0.005224160850,0.003820710117,0.007073947694,0.004929666407,0.005186486989,0.001181816333,163
MagpieData avg_dev Number,Periodic position (comp),0.005297886673,0.003846434643,0.004654605407,0.006121062674,0.005799509119,0.005143899471,0.000912579824,164
MagpieData avg_dev AtomicWeight,Atomic size (comp),0.004429346882,0.004716104362,0.004564810079,0.005270801019,0.005778002553,0.004951813258,0.000561836991,165
MagpieData mean NsUnfilled,Unfilled orbitals (comp),0.003655818524,0.002947692294,0.005672696978,0.004661160056,0.007584054954,0.004904284142,0.001817804761,166
MagpieData range NfUnfilled,Unfilled orbitals (comp),0.005543413106,0.006266459357,0.003391195554,0.003997203894,0.004570198245,0.004753693938,0.001159144682,167
MagpieData minimum SpaceGroupNumber,Periodic position (comp),0.005200737156,0.004849687684,0.004435967188,0.004597286228,0.004366400186,0.004690015689,0.000340660365,168
MagpieData range NdUnfilled,Unfilled orbitals (comp),0.003646771656,0.004782085307,0.005359484348,0.004524359014,0.004963857587,0.004655311815,0.000640592072,169
std_dev q4 CN_9,Coordination fingerprint,0.003162744921,0.005887695123,0.004540067632,0.004143799655,0.005130441394,0.004572949838,0.001026313868,170
MagpieData range NfValence,d/p electron count (comp),0.004608328920,0.004914536607,0.004998276476,0.004054681398,0.004282075912,0.004571580328,0.000403743848,171
mean wt CN_7,Coordination fingerprint,0.002970232395,0.004158550408,0.005793726072,0.003564755665,0.006041966844,0.004505846184,0.001358554116,172
MagpieData range NpUnfilled,Unfilled orbitals (comp),0.004453549162,0.003344584256,0.004716119729,0.005395572167,0.004593960941,0.004500756972,0.000740730437,173
mean hexagonal bipyramidal CN_8,Coordination fingerprint,0.005266626365,0.003194934456,0.003875327762,0.003889856394,0.006212997250,0.004487948958,0.001223421074,174
mean wt CN_10,Coordination fingerprint,0.004731275141,0.002618402243,0.004902008921,0.006483370904,0.003618288320,0.004470669199,0.001454508747,175
std_dev q4 CN_10,Coordination fingerprint,0.006377752405,0.004490940832,0.004231174476,0.003450945253,0.003480105195,0.004406183492,0.001193209668,176
MagpieData minimum NsValence,d/p electron count (comp),0.003858246841,0.003275090130,0.004771007225,0.004797060508,0.004637317266,0.004267744254,0.000675108109,177
std_dev q2 CN_9,Coordination fingerprint,0.005353757180,0.005148835946,0.003932556603,0.004775534850,0.001882442157,0.004218625370,0.001414527418,178
MagpieData avg_dev NsUnfilled,Unfilled orbitals (comp),0.004193260800,0.005131770857,0.004394383170,0.002725802129,0.003349386156,0.003958920483,0.000937047764,179
mean pentagonal bipyramidal CN_7,Coordination fingerprint,0.004032567609,0.005667435471,0.002503415104,0.003299426986,0.003587290179,0.003818026977,0.001174385892,180
MagpieData mean NfUnfilled,Unfilled orbitals (comp),0.004527025390,0.003527199151,0.003795520402,0.004679535050,0.002483741380,0.003802604275,0.000881630753,181
mean cuboctahedral CN_12,Coordination fingerprint,0.002728905063,0.005365290213,0.002816853113,0.004883912392,0.002792103449,0.003717412706,0.001296203467,182
MagpieData mode CovalentRadius,Atomic size (comp),0.003592074383,0.005228205118,0.002795648994,0.002933613490,0.003428762779,0.003595660906,0.000971003901,183
std_dev wt CN_9,Coordination fingerprint,0.002340086270,0.002775799017,0.004540039226,0.003254242009,0.004869172350,0.003555867821,0.001103513991,184
std_dev cuboctahedral CN_12,Coordination fingerprint,0.003222635947,0.003111178288,0.004104056861,0.003956019878,0.003232331946,0.003525244538,0.000466211233,185
mean q4 CN_10,Coordination fingerprint,0.003157990752,0.002851706930,0.004433538765,0.003144895658,0.002624270972,0.003242480801,0.000701813377,186
mean q6 CN_9,Coordination fingerprint,0.002345891437,0.004162621219,0.002902477514,0.003882839810,0.002710313769,0.003200829029,0.000782738789,187
