position_1_based,feature_name,source_family
93,MagpieData range NdUnfilled,ElementProperty
94,MagpieData mean NdUnfilled,ElementProperty
95,MagpieData avg_dev NdUnfilled,ElementProperty
96,MagpieData mode NdUnfilled,ElementProperty
97,MagpieData minimum NfUnfilled,ElementProperty
98,MagpieData maximum NfUnfilled,ElementProperty
99,MagpieData range NfUnfilled,ElementProperty
100,MagpieData mean NfUnfilled,ElementProperty
101,MagpieData avg_dev NfUnfilled,ElementProperty
102,MagpieData mode NfUnfilled,ElementProperty
103,MagpieData minimum NUnfilled,ElementProperty
104,MagpieData maximum NUnfilled,ElementProperty
105,MagpieData range NUnfilled,ElementProperty
106,MagpieData mean NUnfilled,ElementProperty
107,MagpieData avg_dev NUnfilled,ElementProperty
108,MagpieData mode NUnfilled,ElementProperty
109,MagpieData minimum GSvolume_pa,ElementProperty
110,MagpieData maximum GSvolume_pa,ElementProperty
111,MagpieData range GSvolume_pa,ElementProperty
112,MagpieData mean GSvolume_pa,ElementProperty
113,MagpieData avg_dev GSvolume_pa,ElementProperty
114,MagpieData mode GSvolume_pa,ElementProperty
115,MagpieData minimum GSbandgap,ElementProperty
116,MagpieData maximum GSbandgap,ElementProperty
117,MagpieData range GSbandgap,ElementProperty
118,MagpieData mean GSbandgap,ElementProperty
119,MagpieData avg_dev GSbandgap,ElementProperty
120,MagpieData mode GSbandgap,ElementProperty
121,MagpieData minimum GSmagmom,ElementProperty
122,MagpieData maximum GSmagmom,ElementProperty
123,MagpieData range GSmagmom,ElementProperty
124,MagpieData mean GSmagmom,ElementProperty
125,MagpieData avg_dev GSmagmom,ElementProperty
126,MagpieData mode GSmagmom,ElementProperty
127,MagpieData minimum SpaceGroupNumber,ElementProperty
128,MagpieData maximum SpaceGroupNumber,ElementProperty
129,MagpieData range SpaceGroupNumber,ElementProperty
130,MagpieData mean SpaceGroupNumber,ElementProperty
131,MagpieData avg_dev SpaceGroupNumber,ElementProperty
132,MagpieData mode SpaceGroupNumber,ElementProperty
133,band center,BandCenter
